location_id,zone,row,column,depth,location_type,product_id,quantity,product_type,x,y,z,color,depth_info
A-01-01-1,A,1,1,1,Folded Shelves,T-s-Whi-L,20,T-shirts,11.5,72,1.5,"[0, 0, 220]",
A-01-01-2,A,1,1,2,Folded Shelves,,0,T-shirts,11.5,72,3.0,"[0, 0, 220]",
A-01-01-3,A,1,1,3,Folded Shelves,,0,T-shirts,11.5,72,4.5,"[0, 0, 220]",
A-01-02-1,A,1,2,1,Folded Shelves,,0,T-shirts,13.0,72,1.5,"[0, 0, 220]",
A-01-02-2,A,1,2,2,Folded Shelves,,0,T-shirts,13.0,72,3.0,"[0, 0, 220]",
A-01-02-3,A,1,2,3,Folded Shelves,T-s-Red-M,8,T-shirts,13.0,72,4.5,"[0, 0, 220]",
A-01-03-1,A,1,3,1,Folded Shelves,T-s-Gra-M,9,T-shirts,14.5,72,1.5,"[0, 0, 220]",
A-01-03-2,A,1,3,2,Folded Shelves,T-s-Whi-S,7,T-shirts,14.5,72,3.0,"[0, 0, 220]",
A-01-03-3,A,1,3,3,Folded Shelves,T-s-Bla-M,13,T-shirts,14.5,72,4.5,"[0, 0, 220]",
A-01-04-1,A,1,4,1,Folded Shelves,,0,T-shirts,16.0,72,1.5,"[0, 0, 220]",
A-01-04-2,A,1,4,2,Folded Shelves,T-s-Whi-S,11,T-shirts,16.0,72,3.0,"[0, 0, 220]",
A-01-04-3,A,1,4,3,Folded Shelves,T-s-Blu-M,16,T-shirts,16.0,72,4.5,"[0, 0, 220]",
A-01-05-1,A,1,5,1,Folded Shelves,T-s-Gra-L,1,T-shirts,17.5,72,1.5,"[0, 0, 220]",
A-01-05-2,A,1,5,2,Folded Shelves,T-s-Blu-M,18,T-shirts,17.5,72,3.0,"[0, 0, 220]",
A-01-05-3,A,1,5,3,Folded Shelves,T-s-Blu-L,5,T-shirts,17.5,72,4.5,"[0, 0, 220]",
A-01-06-1,A,1,6,1,Folded Shelves,T-s-Gre-XL,12,T-shirts,19.0,72,1.5,"[0, 0, 220]",
A-01-06-2,A,1,6,2,Folded Shelves,T-s-Whi-M,19,T-shirts,19.0,72,3.0,"[0, 0, 220]",
A-01-06-3,A,1,6,3,Folded Shelves,T-s-Blu-L,11,T-shirts,19.0,72,4.5,"[0, 0, 220]",
A-01-07-1,A,1,7,1,Folded Shelves,T-s-Gra-S,17,T-shirts,20.5,72,1.5,"[0, 0, 220]",
A-01-07-2,A,1,7,2,Folded Shelves,T-s-Gre-XL,14,T-shirts,20.5,72,3.0,"[0, 0, 220]",
A-01-07-3,A,1,7,3,Folded Shelves,,0,T-shirts,20.5,72,4.5,"[0, 0, 220]",
A-01-08-1,A,1,8,1,Folded Shelves,,0,T-shirts,22.0,72,1.5,"[0, 0, 220]",
A-01-08-2,A,1,8,2,Folded Shelves,T-s-Bla-L,17,T-shirts,22.0,72,3.0,"[0, 0, 220]",
A-01-08-3,A,1,8,3,Folded Shelves,,0,T-shirts,22.0,72,4.5,"[0, 0, 220]",
A-01-09-1,A,1,9,1,Folded Shelves,T-s-Bla-XS,9,T-shirts,23.5,72,1.5,"[0, 0, 220]",
A-01-09-2,A,1,9,2,Folded Shelves,T-s-Gra-S,5,T-shirts,23.5,72,3.0,"[0, 0, 220]",
A-01-09-3,A,1,9,3,Folded Shelves,T-s-Gra-XL,20,T-shirts,23.5,72,4.5,"[0, 0, 220]",
A-01-10-1,A,1,10,1,Folded Shelves,T-s-Red-XXL,1,T-shirts,25.0,72,1.5,"[0, 0, 220]",
